Name,Artist,Album,Spotify ID,Added On
Nuestros Restos,Caliza,El Descenso,0IThi7ld17Uy8c7p6yIMk1,2022-04-04T19:43:26Z
Abandona,Caliza,El Descenso,19rXhgWDjeUB09QT6ek0Px,2022-04-04T19:43:26Z
El jardinero,Caliza,El Descenso,2a9ctHpnboToo8txoPmJAY,2022-04-04T19:43:26Z
El gran filtro,Caliza,El Descenso,3K0xlvVQjGT88ujT5q8MAg,2022-04-04T19:43:26Z
Viaje psicodélico,Caliza,El Descenso,3WrafBBxJT9HQ3RY1R4U05,2022-04-04T19:43:26Z
Adaptación,Caliza,El Descenso,3piA1Q3bt9QDzPEbqyz1xC,2022-04-04T19:43:26Z
Otra torre más,Caliza,El Descenso,3zZ20xSZS3XEbgNYrZffpB,2022-04-04T19:43:26Z
Entonces,Caliza,El Descenso,4ITDnsKh7RShEpKZymKz8C,2022-04-04T19:43:26Z
Fiesta del colapso,Caliza,El Descenso,55sCivKFVG74elytH95vm8,2022-04-04T19:43:26Z
La transacción,Caliza,El Descenso,5H1t0Go2ioHxXrL9FsiH5v,2022-04-04T19:43:26Z
Miedo,Caliza,El Descenso,702Mf3ihp2TdfNeJwSXZqT,2022-04-04T19:43:26Z
Se tambalea,Caliza,El Descenso,7py41bi2guUmCaAnKBQqLo,2022-04-04T19:43:26Z
Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),2gMXnyrvIjhVBUZwvLZDMP,2022-04-04T09:41:34Z
Destructible,Siiickbrain,Destructible,73IXs3h1OUIecDOAoYvH15,2022-04-03T10:54:08Z
PURGE ft. Siiickbrain,WILLOW,PURGE ft. Siiickbrain,1DtlyZk7uxrg5T29zQls44,2022-04-03T10:38:59Z
Maybe - Live,Miley Cyrus,ATTENTION: MILEY LIVE,22FTbEh8FVYWeX6SOHBMeZ,2022-04-02T09:47:59Z
We Can't Stop X Where Is My Mind? - Live,Miley Cyrus,ATTENTION: MILEY LIVE,1vPyVkwxCkckzP3yvElwEE,2022-04-02T09:13:13Z
Take My Hand,5 Seconds of Summer,Take My Hand,55OlGT0r7dPTNuBlZXOjeA,2022-04-02T07:13:32Z
Fallout,Masked Wolf,Fallout,2JBk2XZLjS0N4x3mFHINM6,2022-04-01T21:52:26Z
As It Was,Harry Styles,As It Was,4LRPiXqCikLlN15c3yImP7,2022-04-01T17:44:29Z
Run Into Trouble,Alok,Run Into Trouble,5C2mUkFTs51bizl4LAaqRy,2022-04-01T17:33:21Z
Les mots sont des murs,Gros Enfant Mort,S/T,0AwJJZXpNhz1ptQ96XE8FJ,2022-03-31T20:34:15Z
Les années vides,Gros Enfant Mort,S/T,2NqEHTtpW0pTiiJKpbgoAD,2022-03-31T20:34:15Z
La ruine,Gros Enfant Mort,S/T,2oPDOB1NGOHTvXTlOESAk0,2022-03-31T20:34:15Z
L'enfer c'est vieillir,Gros Enfant Mort,S/T,3BVnRz3GZJM5elRvlHk2S9,2022-03-31T20:34:15Z
Egotropisme,Gros Enfant Mort,S/T,6UXBySF7fQdkdkzgiah20K,2022-03-31T20:34:15Z
Du normatif au réel,Gros Enfant Mort,S/T,6sIflEC7jpyXWwBt9GTKPb,2022-03-31T20:34:15Z
Autisme à deux,Gros Enfant Mort,S/T,7MshoSWN0SCF3SSnXmZpIm,2022-03-31T20:34:15Z
Bitter,Palace,So Long Forever,2DkZisoN9h1dLa8Sn5sx0n,2022-03-31T19:52:24Z
La Noche,Pódium,Pódium,2IWo3e3mJtO6V9MVRWqYhN,2022-03-28T21:48:03Z
Deal With It (feat. Kelis),Ashnikko,DEMIDEVIL,1S85LGnDPKKOkfuFaK6vFu,2022-03-27T20:40:28Z
good 4 u,Olivia Rodrigo,SOUR,4ZtFanR9U6ndgddUvNcjcG,2022-03-27T10:44:41Z
La guardia alta,Colisión,La guardia alta,5zQBBOiJW3Lcuh0zZolyrK,2022-03-27T10:43:19Z
Céntrate,Pódium,Pódium,5RngTQyTJT0kdcJDx83wx1,2022-03-27T10:40:45Z
maybe (feat. Bring Me The Horizon),Machine Gun Kelly,mainstream sellout,25wdC7CJmCJPgnKw9rYquJ,2022-03-26T07:52:38Z
ay! (feat. Lil Wayne),Machine Gun Kelly,mainstream sellout,1T4tQ4SSagbhAKpvcWg035,2022-03-25T23:20:21Z
